,__run_id,__done,generation,model_size,task,run,rep,duration_ms,cpu_joules,gpu_joules,energy_consumption_total_joules,response_length_sum_characters,response_token_count,accuracy
447,run_0_repetition_16,DONE,2.0,7B,BoolQ,0,16,211878.0,11520.842468261748,76667.7020682618,88188.54453652355,57714.0,13756.0,1.0
448,run_28_repetition_22,DONE,3.2,3B,WiC,28,22,100636.0,5626.168762206973,34610.868162206956,40237.03692441393,55758.0,12758.0,0.9714285714285715
449,run_21_repetition_5,DONE,3.2,1B,RTE,21,5,36821.0,2126.083251953154,11792.442851953158,13918.526103906312,51479.0,10444.0,0.96
450,run_28_repetition_3,DONE,3.2,3B,WiC,28,3,99834.0,5474.543457031279,33838.552457031314,39313.09591406259,55758.0,12758.0,0.9333333333333332
451,run_15_repetition_20,DONE,3.1,8B,RTE,15,20,157856.0,8413.540405273496,56638.86180527354,65052.402210547036,46036.0,9180.0,0.95
452,run_13_repetition_5,DONE,3.1,8B,CB,13,5,159649.0,8547.828674316406,56981.86927431644,65529.69794863285,46101.0,9343.0,0.7675757575757577
453,run_8_repetition_2,DONE,3.0,8B,COPA,8,2,199675.0,10744.543212890625,71476.43921289068,82220.9824257813,55441.0,11806.0,0.9444444444444444
454,run_23_repetition_12,DONE,3.2,1B,WSC,23,12,27808.0,1620.834228515625,8898.744228515627,10519.578457031252,32024.0,7910.0,0.6666666666666666
455,run_28_repetition_5,DONE,3.2,3B,WiC,28,5,100851.0,5422.154235839844,34250.79543583983,39672.94967167967,55758.0,12758.0,0.8964285714285716
456,run_10_repetition_19,DONE,3.0,8B,WiC,10,19,249700.0,13337.654174804686,88401.10577480473,101738.75994960942,63663.0,14810.0,0.93
457,run_19_repetition_4,DONE,3.2,1B,CB,19,4,53816.0,3258.0595703125,17445.198570312496,20703.258140624996,77844.0,15678.0,0.7333333333333333
458,run_23_repetition_16,DONE,3.2,1B,WSC,23,16,26810.0,1604.1722412109339,8552.062641210934,10156.234882421868,32024.0,7910.0,0.9199999999999999
459,run_21_repetition_2,DONE,3.2,1B,RTE,21,2,36819.0,2084.891845703125,11482.127045703126,13567.018891406251,51479.0,10444.0,1.0
460,run_4_repetition_3,DONE,2.0,7B,WiC,4,3,202887.0,10803.155273437493,72841.5040734375,83644.659346875,53640.0,13138.0,1.0
461,run_2_repetition_6,DONE,2.0,7B,COPA,2,6,191671.0,10323.257690429688,68968.81969042978,79292.07738085947,53692.0,12554.0,1.0
462,run_12_repetition_4,DONE,3.1,8B,BoolQ,12,4,138649.0,7471.054931640618,49559.69893164062,57030.753863281236,37425.0,8089.0,0.8400000000000001
463,run_27_repetition_6,DONE,3.2,3B,RTE,27,6,91846.0,5009.570556640625,31230.329356640654,36239.899913281275,58703.0,11647.0,1.0
464,run_7_repetition_2,DONE,3.0,8B,CB,7,2,222715.0,11864.756530761719,79090.88873076176,90955.64526152347,65239.0,13110.0,0.9714285714285715
465,run_29_repetition_0,DONE,3.2,3B,WSC,29,0,68822.0,3882.5847778320312,23460.632177832038,27343.21695566407,35494.0,8579.0,0.9333333333333332
466,run_5_repetition_29,DONE,2.0,7B,WSC,5,29,177877.0,9503.83441162108,64027.05941162104,73530.89382324212,45028.0,11578.0,1.0
467,run_25_repetition_5,DONE,3.2,3B,CB,25,5,109838.0,5879.718688964829,37445.016888964856,43324.735577929685,67961.0,13729.0,0.9
