__run_id,__done,generation,model_size,task,energy
run_10_repetition_13,DONE,3,8B,WiC,14413.615234375
run_2_repetition_12,DONE,2,7B,COPA,11154.670288085938
run_24_repetition_13,DONE,3.2,3B,BoolQ,5451.8621826171875
run_8_repetition_4,DONE,3,8B,COPA,11419.647644042969
run_24_repetition_23,DONE,3.2,3B,BoolQ,5451.38525390625
run_18_repetition_2,DONE,3.2,1B,BoolQ,3596.1075439453125
run_14_repetition_19,DONE,3.1,8B,COPA,11950.920043945312
run_9_repetition_7,DONE,3,8B,RTE,11242.467834472656
run_21_repetition_26,DONE,3.2,1B,RTE,2725.5728149414062
run_21_repetition_28,DONE,3.2,1B,RTE,2578.5258178710938
run_4_repetition_22,DONE,2,7B,WiC,11259.565490722656
run_26_repetition_12,DONE,3.2,3B,COPA,5815.321533203125
run_21_repetition_20,DONE,3.2,1B,RTE,2628.4512329101562
run_28_repetition_1,DONE,3.2,3B,WiC,6128.310363769531
run_20_repetition_28,DONE,3.2,1B,COPA,3142.4747314453125
run_25_repetition_1,DONE,3.2,3B,CB,6507.832214355469
run_20_repetition_27,DONE,3.2,1B,COPA,3094.4240112304688
run_22_repetition_5,DONE,3.2,1B,WiC,2972.63427734375
run_6_repetition_18,DONE,3,8B,BoolQ,7106.624267578125
run_29_repetition_22,DONE,3.2,3B,WSC,4411.554931640625
run_23_repetition_15,DONE,3.2,1B,WSC,2014.30615234375
run_10_repetition_12,DONE,3,8B,WiC,13815.255859375
run_5_repetition_25,DONE,2,7B,WSC,10451.417663574219
run_18_repetition_14,DONE,3.2,1B,BoolQ,3574.1882934570312
run_24_repetition_16,DONE,3.2,3B,BoolQ,5460.49169921875
run_13_repetition_10,DONE,3.1,8B,CB,9255.198791503906
run_13_repetition_25,DONE,3.1,8B,CB,9294.738220214844
run_1_repetition_9,DONE,2,7B,CB,12056.831665039062
run_17_repetition_25,DONE,3.1,8B,WSC,254911.68908691406
run_18_repetition_27,DONE,3.2,1B,BoolQ,3572.1107177734375
run_3_repetition_2,DONE,2,7B,RTE,10863.556396484375
run_3_repetition_21,DONE,2,7B,RTE,10943.307495117188
run_9_repetition_10,DONE,3,8B,RTE,11368.531005859375
run_24_repetition_11,DONE,3.2,3B,BoolQ,5445.396423339844
run_16_repetition_29,DONE,3.1,8B,WiC,13787.438049316406
run_4_repetition_19,DONE,2,7B,WiC,11581.588012695312
run_2_repetition_15,DONE,2,7B,COPA,11006.828491210938
run_14_repetition_4,DONE,3.1,8B,COPA,12062.173522949219
run_21_repetition_4,DONE,3.2,1B,RTE,2697.3802490234375
run_3_repetition_25,DONE,2,7B,RTE,10786.260192871094
run_9_repetition_24,DONE,3,8B,RTE,11496.994750976562
run_21_repetition_22,DONE,3.2,1B,RTE,2632.005126953125
run_16_repetition_11,DONE,3.1,8B,WiC,13777.043518066406
run_20_repetition_16,DONE,3.2,1B,COPA,3178.8889770507812
run_21_repetition_23,DONE,3.2,1B,RTE,2639.9846801757812
run_0_repetition_28,DONE,2,7B,BoolQ,11866.809753417969
run_19_repetition_17,DONE,3.2,1B,CB,3774.210205078125
run_15_repetition_7,DONE,3.1,8B,RTE,9029.950073242188
run_8_repetition_18,DONE,3,8B,COPA,11268.9736328125
run_5_repetition_22,DONE,2,7B,WSC,10305.023132324219
run_8_repetition_11,DONE,3,8B,COPA,11463.984191894531
run_8_repetition_13,DONE,3,8B,COPA,11536.781066894531
run_21_repetition_1,DONE,3.2,1B,RTE,2713.740966796875
run_12_repetition_29,DONE,3.1,8B,BoolQ,8071.385986328125
run_1_repetition_3,DONE,2,7B,CB,250041.58245849606
run_7_repetition_26,DONE,3,8B,CB,12538.628601074219
run_1_repetition_24,DONE,2,7B,CB,11979.529541015625
run_10_repetition_18,DONE,3,8B,WiC,14330.832702636719
run_12_repetition_26,DONE,3.1,8B,BoolQ,8115.429016113281
run_18_repetition_16,DONE,3.2,1B,BoolQ,3527.7227783203125
run_2_repetition_29,DONE,2,7B,COPA,11054.929565429688
run_21_repetition_3,DONE,3.2,1B,RTE,2578.2158203125
run_15_repetition_28,DONE,3.1,8B,RTE,8983.330932617188
run_25_repetition_24,DONE,3.2,3B,CB,6559.868957519531
run_18_repetition_24,DONE,3.2,1B,BoolQ,3480.78759765625
run_8_repetition_26,DONE,3,8B,COPA,11284.710693359375
run_25_repetition_11,DONE,3.2,3B,CB,6574.8201904296875
run_7_repetition_16,DONE,3,8B,CB,12434.888366699219
run_0_repetition_25,DONE,2,7B,BoolQ,11980.568420410156
run_20_repetition_29,DONE,3.2,1B,COPA,3073.334716796875
run_17_repetition_5,DONE,3.1,8B,WSC,7095.643371582031
run_7_repetition_28,DONE,3,8B,CB,12478.008361816406
run_7_repetition_29,DONE,3,8B,CB,12497.227905273438
run_27_repetition_17,DONE,3.2,3B,RTE,5646.0692138671875
run_21_repetition_10,DONE,3.2,1B,RTE,2579.5198364257812
run_22_repetition_22,DONE,3.2,1B,WiC,3008.4779052734375
run_7_repetition_0,DONE,3,8B,CB,12255.883972167969
run_24_repetition_17,DONE,3.2,3B,BoolQ,5311.037109375
run_12_repetition_13,DONE,3.1,8B,BoolQ,7983.535461425781
run_15_repetition_25,DONE,3.1,8B,RTE,9051.200317382812
run_18_repetition_13,DONE,3.2,1B,BoolQ,3611.5248413085938
run_5_repetition_20,DONE,2,7B,WSC,9991.188049316406
run_9_repetition_17,DONE,3,8B,RTE,250828.7302856445
run_6_repetition_5,DONE,3,8B,BoolQ,7128.822448730469
run_2_repetition_19,DONE,2,7B,COPA,10954.181396484375
run_13_repetition_27,DONE,3.1,8B,CB,9260.749816894531
run_25_repetition_23,DONE,3.2,3B,CB,6540.138671875
run_18_repetition_29,DONE,3.2,1B,BoolQ,3501.6122436523438
